family,pair_id,country,predictor,response,lag_years,sample_years,response_start_year,response_end_year,predictor_start_year,predictor_end_year,sample_sha256,transform,regime_breakpoints,fit,n,minimum_years,control_columns,n_controls,rank,df_resid,status,reason,partial_r,beta,beta_ci_low,beta_ci_high,p_hac,q_family,family_size,reject_fdr
regional,LBN__conflict_total_deaths_per_100k__ipc_current_3plus_fraction__lag1,LBN,conflict_total_deaths_per_100k,ipc_current_3plus_fraction,1,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,LBN__conflict_total_deaths_per_100k__ipc_current_3plus_fraction__lag1,LBN,conflict_total_deaths_per_100k,ipc_current_3plus_fraction,1,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response;rni_predictor;dmi_predictor,4,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,LBN__conflict_total_deaths_per_100k__ipc_current_3plus_fraction__lag2,LBN,conflict_total_deaths_per_100k,ipc_current_3plus_fraction,2,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,LBN__conflict_total_deaths_per_100k__ipc_current_3plus_fraction__lag2,LBN,conflict_total_deaths_per_100k,ipc_current_3plus_fraction,2,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response;rni_predictor;dmi_predictor,4,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,LBN__retail_staple_price_yoy_pct__ipc_current_3plus_fraction__lag0,LBN,retail_staple_price_yoy_pct,ipc_current_3plus_fraction,0,,,,,,df87bdde692083e24cdb9fb667d064fa1b6d7147c61f6c4150eff45e7615817b,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,LBN__retail_staple_price_yoy_pct__ipc_current_3plus_fraction__lag0,LBN,retail_staple_price_yoy_pct,ipc_current_3plus_fraction,0,,,,,,df87bdde692083e24cdb9fb667d064fa1b6d7147c61f6c4150eff45e7615817b,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response,2,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,LBN__retail_staple_price_yoy_pct__ipc_current_3plus_fraction__lag1,LBN,retail_staple_price_yoy_pct,ipc_current_3plus_fraction,1,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,LBN__retail_staple_price_yoy_pct__ipc_current_3plus_fraction__lag1,LBN,retail_staple_price_yoy_pct,ipc_current_3plus_fraction,1,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response;rni_predictor;dmi_predictor,4,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,LBN__retail_staple_price_yoy_pct__ipc_current_3plus_fraction__lag2,LBN,retail_staple_price_yoy_pct,ipc_current_3plus_fraction,2,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,LBN__retail_staple_price_yoy_pct__ipc_current_3plus_fraction__lag2,LBN,retail_staple_price_yoy_pct,ipc_current_3plus_fraction,2,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response;rni_predictor;dmi_predictor,4,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,UKR__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag0,UKR,conflict_total_deaths_per_100k,refugees_origin_stock_change,0,2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2001.0,2025.0,2001.0,2025.0,34e829b4d1c8dd1461e888c23175472dc17c9b4b5fceb43241c686807f5dcbe0,signed_log1p,,baseline_time_regime,25,12,intercept_2001_2025;time_2001_2025,2,3.0,22.0,eligible,,0.5928718058510675,4.407052903244332,2.5444241595799673,6.269681646908697,6.602843825234185e-05,0.004754047554168613,144,True
regional,UKR__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag0,UKR,conflict_total_deaths_per_100k,refugees_origin_stock_change,0,2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2001.0,2025.0,2001.0,2025.0,34e829b4d1c8dd1461e888c23175472dc17c9b4b5fceb43241c686807f5dcbe0,signed_log1p,,climate_adjusted,25,12,intercept_2001_2025;time_2001_2025;rni_response;dmi_response,4,5.0,20.0,eligible,,0.5898028895093583,4.568702535014652,2.686501487932624,6.4509035820966805,5.943354389501558e-05,0.004754047554168613,144,True
regional,UKR__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag1,UKR,conflict_total_deaths_per_100k,refugees_origin_stock_change,1,2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2001.0,2025.0,2000.0,2024.0,5d6e8dd05357e353410737ad95b3e82c0f89ecd8265c77a8ab48be3f3dec0714,signed_log1p,,baseline_time_regime,25,12,intercept_2001_2025;time_2001_2025,2,3.0,22.0,eligible,,0.26165894036729015,2.0203213880828037,-0.5478931695596589,4.5885359457252655,0.11703103654582345,1.0,144,False
regional,UKR__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag1,UKR,conflict_total_deaths_per_100k,refugees_origin_stock_change,1,2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2001.0,2025.0,2000.0,2024.0,5d6e8dd05357e353410737ad95b3e82c0f89ecd8265c77a8ab48be3f3dec0714,signed_log1p,,climate_adjusted,25,12,intercept_2001_2025;time_2001_2025;rni_response;dmi_response;rni_predictor;dmi_predictor,6,7.0,18.0,eligible,,0.3548102007616387,2.4357093669701606,1.0087482877243885,3.8626704462159327,0.0021114470504347118,0.10134945842086616,144,False
regional,UKR__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag2,UKR,conflict_total_deaths_per_100k,refugees_origin_stock_change,2,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2002.0,2025.0,2000.0,2023.0,3c535051b45c4858529210a0a653e383bba9a557ed0a6a1e663c911f0b252b04,signed_log1p,,baseline_time_regime,24,12,intercept_2002_2025;time_2002_2025,2,3.0,21.0,eligible,,-0.16974842739864796,-1.4265141831101245,-4.933430075637984,2.0804017094177345,0.4071290429408928,1.0,144,False
regional,UKR__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag2,UKR,conflict_total_deaths_per_100k,refugees_origin_stock_change,2,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2002.0,2025.0,2000.0,2023.0,3c535051b45c4858529210a0a653e383bba9a557ed0a6a1e663c911f0b252b04,signed_log1p,,climate_adjusted,24,12,intercept_2002_2025;time_2002_2025;rni_response;dmi_response;rni_predictor;dmi_predictor,6,7.0,17.0,eligible,,-0.14687198990873446,-1.227725019051374,-4.8045447643473675,2.3490947262446196,0.4788017636018318,1.0,144,False
regional,UKR__conflict_total_deaths_per_100k__ipc_current_3plus_fraction__lag0,UKR,conflict_total_deaths_per_100k,ipc_current_3plus_fraction,0,,,,,,df87bdde692083e24cdb9fb667d064fa1b6d7147c61f6c4150eff45e7615817b,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
