country,stream_id,target_start,target_iso_year,target_iso_week,baseline_center_iso_year,baseline_center_iso_week,week53_mapped_to52,window_start,window_end,expected_weeks,eligible_weeks,qualified,positive_specimens,tested_specimens,positivity,excluded_week_reasons
ETH,53b5453d29f812a883a9,2025-11-10,2025,46,2020,46,False,2020-10-26,2020-11-29,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-11-10,2025,46,2021,46,False,2021-11-01,2021-12-05,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-11-10,2025,46,2022,46,False,2022-10-31,2022-12-04,5,5,True,35.0,783.0,0.04469987228607918,{}
ETH,53b5453d29f812a883a9,2025-11-10,2025,46,2023,46,False,2023-10-30,2023-12-03,5,5,True,246.0,1265.0,0.19446640316205532,{}
ETH,53b5453d29f812a883a9,2025-11-10,2025,46,2024,46,False,2024-10-28,2024-12-01,5,4,True,75.0,498.0,0.15060240963855423,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2025-11-17,2025,47,2020,47,False,2020-11-02,2020-12-06,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-11-17,2025,47,2021,47,False,2021-11-08,2021-12-12,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-11-17,2025,47,2022,47,False,2022-11-07,2022-12-11,5,5,True,60.0,801.0,0.0749063670411985,{}
ETH,53b5453d29f812a883a9,2025-11-17,2025,47,2023,47,False,2023-11-06,2023-12-10,5,5,True,242.0,1212.0,0.19966996699669967,{}
ETH,53b5453d29f812a883a9,2025-11-17,2025,47,2024,47,False,2024-11-04,2024-12-08,5,4,True,82.0,525.0,0.15619047619047619,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2025-11-24,2025,48,2020,48,False,2020-11-09,2020-12-13,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-11-24,2025,48,2021,48,False,2021-11-15,2021-12-19,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-11-24,2025,48,2022,48,False,2022-11-14,2022-12-18,5,5,True,96.0,854.0,0.11241217798594848,{}
ETH,53b5453d29f812a883a9,2025-11-24,2025,48,2023,48,False,2023-11-13,2023-12-17,5,5,True,226.0,1150.0,0.19652173913043477,{}
ETH,53b5453d29f812a883a9,2025-11-24,2025,48,2024,48,False,2024-11-11,2024-12-15,5,4,True,82.0,525.0,0.15619047619047619,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2025-12-01,2025,49,2020,49,False,2020-11-16,2020-12-20,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-12-01,2025,49,2021,49,False,2021-11-22,2021-12-26,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-12-01,2025,49,2022,49,False,2022-11-21,2022-12-25,5,5,True,138.0,938.0,0.14712153518123666,{}
ETH,53b5453d29f812a883a9,2025-12-01,2025,49,2023,49,False,2023-11-20,2023-12-24,5,5,True,195.0,1102.0,0.17695099818511797,{}
ETH,53b5453d29f812a883a9,2025-12-01,2025,49,2024,49,False,2024-11-18,2024-12-22,5,4,True,75.0,502.0,0.14940239043824702,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2025-12-08,2025,50,2020,50,False,2020-11-23,2020-12-27,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-12-08,2025,50,2021,50,False,2021-11-29,2022-01-02,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-12-08,2025,50,2022,50,False,2022-11-28,2023-01-01,5,5,True,154.0,942.0,0.16348195329087048,{}
ETH,53b5453d29f812a883a9,2025-12-08,2025,50,2023,50,False,2023-11-27,2023-12-31,5,5,True,165.0,1043.0,0.15819750719079578,{}
ETH,53b5453d29f812a883a9,2025-12-08,2025,50,2024,50,False,2024-11-25,2024-12-29,5,4,True,54.0,463.0,0.11663066954643629,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2025-12-15,2025,51,2020,51,False,2020-11-30,2021-01-03,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-12-15,2025,51,2021,51,False,2021-12-06,2022-01-09,5,0,False,,,,"{""low_testing"":1,""unobserved_week"":4}"
ETH,53b5453d29f812a883a9,2025-12-15,2025,51,2022,51,False,2022-12-05,2023-01-08,5,5,True,164.0,949.0,0.17281348788198103,{}
ETH,53b5453d29f812a883a9,2025-12-15,2025,51,2023,51,False,2023-12-04,2024-01-07,5,5,True,114.0,943.0,0.12089077412513255,{}
ETH,53b5453d29f812a883a9,2025-12-15,2025,51,2024,51,False,2024-12-02,2025-01-05,5,3,False,32.0,362.0,,"{""low_testing"":1,""not_strictly_prior_target_iso_year"":1}"
ETH,53b5453d29f812a883a9,2025-12-22,2025,52,2020,52,False,2020-12-07,2021-01-10,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-12-22,2025,52,2021,52,False,2021-12-13,2022-01-16,5,0,False,,,,"{""low_testing"":2,""unobserved_week"":3}"
ETH,53b5453d29f812a883a9,2025-12-22,2025,52,2022,52,False,2022-12-12,2023-01-15,5,5,True,146.0,901.0,0.16204217536071033,{}
ETH,53b5453d29f812a883a9,2025-12-22,2025,52,2023,52,False,2023-12-11,2024-01-14,5,5,True,83.0,851.0,0.09753231492361927,{}
ETH,53b5453d29f812a883a9,2025-12-22,2025,52,2024,52,False,2024-12-09,2025-01-12,5,2,False,19.0,216.0,,"{""low_testing"":1,""not_strictly_prior_target_iso_year"":2}"
ETH,53b5453d29f812a883a9,2025-12-29,2026,1,2021,1,False,2020-12-21,2021-01-24,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-12-29,2026,1,2022,1,False,2021-12-20,2022-01-23,5,0,False,,,,"{""low_testing"":3,""unobserved_week"":2}"
ETH,53b5453d29f812a883a9,2025-12-29,2026,1,2023,1,False,2022-12-19,2023-01-22,5,5,True,133.0,839.0,0.15852205005959474,{}
ETH,53b5453d29f812a883a9,2025-12-29,2026,1,2024,1,False,2023-12-18,2024-01-21,5,5,True,51.0,870.0,0.05862068965517241,{}
