portid,date,year,month,day,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId,source_observed,chokepoint,day_complete,reporting_lag_elapsed,usable,status,source_id,source_version,source_url,fetched_at,unit,provisional
chokepoint1,2019-01-23,2019,1,23,Suez Canal,25.0,8.0,6.0,2.0,20.0,41.0,61.0,1627659.0,415434.0,21363.0,3600.0,669317.0,2068056.0,2737374.0,23.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-24,2019,1,24,Suez Canal,16.0,11.0,2.0,2.0,16.0,31.0,47.0,826662.0,732469.0,4047.0,0.0,672064.0,1563178.0,2235243.0,24.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-25,2019,1,25,Suez Canal,19.0,11.0,1.0,2.0,15.0,33.0,48.0,1049463.0,317355.0,1829.0,9663.0,571197.0,1378312.0,1949510.0,25.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-26,2019,1,26,Suez Canal,14.0,12.0,4.0,2.0,13.0,32.0,45.0,934706.0,553162.0,56752.0,3733.0,782587.0,1548355.0,2330942.0,26.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-27,2019,1,27,Suez Canal,13.0,9.0,6.0,5.0,19.0,33.0,52.0,661159.0,443222.0,25446.0,12122.0,734973.0,1141951.0,1876925.0,27.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-28,2019,1,28,Suez Canal,15.0,12.0,1.0,4.0,18.0,32.0,50.0,908502.0,606223.0,3139.0,8983.0,1035275.0,1526848.0,2562123.0,28.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-29,2019,1,29,Suez Canal,13.0,7.0,7.0,3.0,16.0,30.0,46.0,804347.0,323897.0,38498.0,11186.0,600271.0,1177929.0,1778201.0,29.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-30,2019,1,30,Suez Canal,31.0,6.0,2.0,4.0,15.0,43.0,58.0,1837628.0,134450.0,6371.0,11452.0,589908.0,1989902.0,2579810.0,30.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-31,2019,1,31,Suez Canal,12.0,6.0,4.0,0.0,18.0,22.0,40.0,600004.0,460599.0,7232.0,0.0,651995.0,1067836.0,1719832.0,31.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-02-01,2019,2,1,Suez Canal,20.0,12.0,5.0,0.0,11.0,37.0,48.0,1167244.0,472686.0,26335.0,0.0,350200.0,1666266.0,2016467.0,32.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
