year,geophysical,solar,conflict_and_humanitarian_impacts,health,hydroclimate_impacts,economy
1942,-0.3343354560699563,,,-53.18192514003161,,-0.7046302615768418
1943,0.26007643249773776,,,-53.18192514003161,,-0.7046302615768418
1944,-0.4829384282118799,,,-53.18192514003161,,0.2983415131767555
1945,-1.2259532889214975,,,-53.18192514003161,,-0.7046302615768418
1946,-0.4829384282118799,,,-53.18192514003161,,0.5195828582268153
1947,-0.03712951178610925,,,-53.18192514003161,,-0.7046302615768418
1948,-0.4829384282118799,,,-53.18192514003161,,-0.7046302615768418
1949,-0.4829384282118799,,,-53.18192514003161,,-0.7046302615768418
1950,-0.3343354560699563,,,-53.18192514003161,,-0.7046302615768418
1951,-1.077350316779574,,,-53.18192514003161,,-0.7046302615768418
1952,-1.374556261063421,,,-53.18192514003161,,-0.7046302615768418
1953,-0.9287473446376504,,,-53.18192514003161,,-0.7046302615768418
1954,-1.374556261063421,,,-53.18192514003161,,-0.7046302615768418
1955,-0.9287473446376504,,,-53.18192514003161,,-0.7046302615768418
1956,-0.22315923320534425,,,-53.18192514003161,,0.4111356466841928
1957,0.5572823767815849,,,4.173610130639854,,-0.7046302615768418
1958,-1.2259532889214975,,,4.173610130639854,,-0.7046302615768418
1959,-1.374556261063421,,,-53.18192514003161,,-0.7046302615768418
1960,-0.3343354560699563,,,-346.5122586999512,,-0.7046302615768418
1961,-0.6315414003538034,,,-49.29948516245228,,0.5003646880094889
1962,-0.9287473446376504,,,-49.29948516245228,,-0.7046302615768418
1963,0.26007643249773776,,,-49.29948516245228,,-0.7046302615768418
1964,-1.2259532889214975,,,-49.29948516245228,,-0.7046302615768418
1965,-0.03712951178610925,,,-49.29948516245228,,-0.7046302615768418
1966,-0.9287473446376504,,,-49.29948516245228,,0.42051222896152296
1967,-0.7801443724957269,,,-49.29948516245228,,-0.7046302615768418
1968,0.7058853489235084,,,-4.172011543310548,,0.5885113030421143
1969,-0.03712951178610925,,,-4.172011543310548,,-0.7046302615768418
1970,0.26007643249773776,,-4.384223943533616,-4.172011543310548,,-0.7046302615768418
1971,-0.6315414003538034,,-2.1808344765401997,-49.29948516245228,,-0.7046302615768418
1972,-0.03712951178610925,,-3.0152349666567115,-49.29948516245228,,-0.7046302615768418
1973,-0.9287473446376504,,-2.7633695423210693,-49.29948516245228,,1.6924964604894344
1974,-0.6315414003538034,,-4.9551363132333215,-49.29948516245228,,-0.7046302615768418
1975,-0.3343354560699563,,-1.2906294473515212,-49.29948516245228,,-0.7046302615768418
1976,-0.18573248392803277,-0.3584661785192634,-1.1219692116308615,-24.992871567910967,,-0.7046302615768418
1977,-0.6315414003538034,-0.3584661785192634,-1.2717773027266774,-24.992871567910967,,-0.7046302615768418
1978,-0.4829384282118799,-0.04779549046923509,-1.0042736519155302,-346.5122586999512,,-0.7046302615768418
1979,-1.077350316779574,-0.3584661785192634,-0.16216568354331992,-346.5122586999512,,0.2983415131767555
1980,-0.07455626106342073,-0.6691368665692917,-0.057675989399210294,-346.5122586999512,,1.4920547167146871
1981,-0.7801443724957269,-0.04779549046923509,-0.14640657557384065,-0.2895445807563168,,-0.7046302615768418
1982,0.22264968322042622,0.2628751975807932,-0.395771374231753,-0.2895445807563168,,0.2983415131767555
1983,-0.18573248392803277,-0.6691368665692917,0.1972924396080443,-0.2895445807563168,,-0.7046302615768418
1984,-0.18573248392803277,-0.3584661785192634,0.5364166762640992,-0.2895445807563168,,-0.7046302615768418
1985,-0.03712951178610925,-0.6691368665692917,0.34590300163869586,-0.2895445807563168,,-0.7046302615768418
1986,-0.6315414003538034,-0.6691368665692917,-0.31722444367989194,-0.2895445807563168,,-0.7046302615768418
1987,-0.3343354560699563,-0.6691368665692917,-0.18679616677973512,-0.2895445807563168,,1.5654823637543926
1988,-0.6315414003538034,-0.6691368665692917,0.24448657248782193,-0.2895445807563168,,-0.7046302615768418
1989,-1.077350316779574,1.1948872617308781,0.6259827343827055,-0.2895445807563168,,0.2983415131767555
1990,0.4086794046396613,-0.6691368665692917,0.12951136828116808,-0.2895445807563168,,1.3861230950473873
1991,2.8600764324977384,1.5055579497809066,0.6311948219668744,-0.2895445807563168,,-0.7046302615768418
1992,-0.3343354560699563,-0.3584661785192634,0.35243109578588694,-0.2895445807563168,,0.2983415131767555
1993,-0.4829384282118799,-0.6691368665692917,,-0.2895445807563168,,-0.7046302615768418
1994,-0.3343354560699563,-0.6691368665692917,0.34685221158248286,-0.2895445807563168,,0.2983415131767555
1995,0.7058853489235084,-0.6691368665692917,-0.6311742651190162,-0.2895445807563168,,-0.7046302615768418
1996,-0.03712951178610925,-0.6691368665692917,-0.038079207230066615,-0.2895445807563168,,-0.7046302615768418
1997,0.11147346035581428,-0.3584661785192634,0.04574131299333384,-0.2895445807563168,,0.2983415131767555
1998,-0.4829384282118799,-0.04779549046923509,-0.0675263233564634,-0.2895445807563168,,1.3756994721955285
1999,0.4086794046396613,-0.6691368665692917,0.03913857958669742,-0.2895445807563168,,-0.7046302615768418
2000,-0.03712951178610925,-0.04779549046923509,-0.17080314641807656,-0.2895445807563168,,1.6989833888693884
2001,-0.03712951178610925,1.816228637830935,0.09856397395330561,-0.2895445807563168,,0.2983415131767555
2002,-0.3343354560699563,-0.04779549046923509,0.10782631776045155,-0.28258336214138086,,-0.7046302615768418
2003,-0.03712951178610925,2.126899325880963,0.3684160992351158,-0.28258336214138086,,-0.7046302615768418
2004,0.11147346035581428,0.2628751975807932,-0.3139625650963522,-0.28258336214138086,,-0.7046302615768418
2005,-0.6315414003538034,2.7482407019810196,-0.2617000444143273,-0.2895445807563168,,-0.7046302615768418
2006,-0.6315414003538034,0.5735458856308215,-0.09069554563201036,-0.2895445807563168,,-0.7046302615768418
2007,0.4086794046396613,-0.6691368665692917,-0.23970137928143329,-0.2895445807563168,,1.7501447499718006
2008,-0.4829384282118799,-0.6691368665692917,-0.5028375586617462,-0.2895445807563168,,0.2983415131767555
2009,0.26007643249773776,-0.6691368665692917,-0.4903577776148924,3.464093141153269,,-0.7046302615768418
