country,period_start,period_end,metric,value,unit,numerator,denominator,frequency,source_id,source_version,source_url,published_at,fetched_at,provisional,dimensions,quality_note
ETH,2006-01-01,2006-12-31,conflict_total_deaths,430.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2007-01-01,2007-12-31,conflict_battle_deaths,177.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2007-01-01,2007-12-31,conflict_civilian_targeting_deaths,235.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2007-01-01,2007-12-31,conflict_nonstate_deaths,88.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2007-01-01,2007-12-31,conflict_total_deaths,500.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2008-01-01,2008-12-31,conflict_battle_deaths,50.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2008-01-01,2008-12-31,conflict_civilian_targeting_deaths,1.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2008-01-01,2008-12-31,conflict_nonstate_deaths,260.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2008-01-01,2008-12-31,conflict_total_deaths,311.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2009-01-01,2009-12-31,conflict_battle_deaths,515.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2009-01-01,2009-12-31,conflict_civilian_targeting_deaths,0.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2009-01-01,2009-12-31,conflict_nonstate_deaths,75.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2009-01-01,2009-12-31,conflict_total_deaths,590.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2010-01-01,2010-12-31,conflict_battle_deaths,151.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2010-01-01,2010-12-31,conflict_civilian_targeting_deaths,0.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2010-01-01,2010-12-31,conflict_nonstate_deaths,1.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2010-01-01,2010-12-31,conflict_total_deaths,152.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2011-01-01,2011-12-31,conflict_battle_deaths,51.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2011-01-01,2011-12-31,conflict_civilian_targeting_deaths,0.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2011-01-01,2011-12-31,conflict_nonstate_deaths,15.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2011-01-01,2011-12-31,conflict_total_deaths,66.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2012-01-01,2012-12-31,conflict_battle_deaths,50.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2012-01-01,2012-12-31,conflict_civilian_targeting_deaths,88.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2012-01-01,2012-12-31,conflict_nonstate_deaths,253.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2012-01-01,2012-12-31,conflict_total_deaths,391.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2013-01-01,2013-12-31,conflict_battle_deaths,77.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2013-01-01,2013-12-31,conflict_civilian_targeting_deaths,11.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2013-01-01,2013-12-31,conflict_nonstate_deaths,0.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
