event_id,kind,catalog_date_td,global_type,element_source,greatest_td,delta_t_seconds,local_geometry_type,local_visible_type,visible,local_maximum_ut1,local_maximum_altitude_deg,local_maximum_azimuth_deg,local_magnitude,local_obscuration,full_local_partial_duration_seconds,visible_partial_duration_seconds,full_local_central_duration_seconds,visible_central_duration_seconds,visible_start_ut1,visible_end_ut1,maximum_at_horizon_flag,location_id,time_scale,prediction_status,full_penumbral_duration_seconds,visible_penumbral_duration_seconds,visible_penumbral_intervals_ut1,full_umbral_duration_seconds,visible_umbral_duration_seconds,visible_umbral_intervals_ut1,full_total_duration_seconds,visible_total_duration_seconds,visible_total_intervals_ut1,maximum_above_model_horizon,penumbral_magnitude,umbral_magnitude
solar-09300,solar,1908-06-28,A,SE1901,1908-06-28T16:29:51.014,8.3,P,none,False,,,,,,3198.8443453044806,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09439,lunar,1908-07-13,N,LE1901,1908-07-13T21:33:54.979,8.4,N,N,True,1908-07-13T21:33:46.572,34.094593104568446,,,,,,,,1908-07-13T20:30:41.604,1908-07-13T22:36:59.460,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,7577.856000000001,7577.856000000001,"[[""1908-07-13T20:30:41.604"", ""1908-07-13T22:36:59.460""]]",,,,,,,True,0.229,-0.72
lunar-09440,lunar,1908-12-07,N,LE1901,1908-12-07T21:55:09.206,8.9,N,N,True,1908-12-07T21:55:00.364,78.4901707690217,,,,,,,,1908-12-07T19:40:05.008,1908-12-08T00:09:49.996,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,16184.988,16184.988,"[[""1908-12-07T19:40:05.008"", ""1908-12-08T00:09:49.996""]]",,,,,,,True,1.034,-0.01
solar-09301,solar,1908-12-23,H,SE1901,1908-12-23T11:44:27.658,9,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09441,lunar,1909-06-04,T,LE1901,1909-06-04T01:28:50.880,9.6,T,T,True,1909-06-04T01:28:41.280,11.927259646805098,,,,,,,,1909-06-03T22:37:49.560,1909-06-04T02:38:04.941,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,20497.608,14415.380859374984,"[[""1909-06-03T22:37:49.560"", ""1909-06-04T02:38:04.941""]]",12613.824,10468.916015625,"[[""1909-06-03T23:43:36.060"", ""1909-06-04T02:38:04.976""]]",3626.316,3626.316,"[[""1909-06-04T00:58:29.472"", ""1909-06-04T01:58:55.788""]]",True,2.18,1.158
solar-09302,solar,1909-06-17,H,SE1901,1909-06-17T23:18:38.246,9.6,P,none,False,,,,,,5168.840763895297,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09442,lunar,1909-11-27,T,LE1901,1909-11-27T08:54:40.666,10.2,T,none,False,1909-11-27T08:54:30.480,-37.676173912495194,,,,,,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,19370.412,0,[],12388.967999999999,0,[],4869.36,0,[],False,2.354,1.366
solar-09303,solar,1909-12-12,P,SE1901,1909-12-12T19:44:48.192,10.3,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
solar-09304,solar,1910-05-09,T,SE1901,1910-05-09T05:42:12.614,10.8,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09443,lunar,1910-05-24,T,LE1901,1910-05-24T05:34:15.514,10.9,T,none,False,1910-05-24T05:34:04.628,-36.330008140398476,,,,,,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,21619.98,0,[],12921.372,0,[],2969.5679999999998,0,[],False,2.163,1.095
solar-09305,solar,1910-11-02,P,SE1901,1910-11-02T02:08:31.632,11.5,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09444,lunar,1910-11-17,T,LE1901,1910-11-17T00:20:52.454,11.6,T,T,True,1910-11-17T00:20:40.876,47.64257742982174,,,,,,,,1910-11-16T21:46:48.928,1910-11-17T02:54:33.868,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,18464.94,18464.94,"[[""1910-11-16T21:46:48.928"", ""1910-11-17T02:54:33.868""]]",11580.984,11580.984,"[[""1910-11-16T22:44:10.672"", ""1910-11-17T01:57:11.656""]]",3033.252,3033.252,"[[""1910-11-16T23:55:24.304"", ""1910-11-17T00:45:57.556""]]",True,2.09,1.125
solar-09306,solar,1911-04-28,T,SE1901,1911-04-28T22:27:21.802,12.2,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
