country,series_id,dimensions,currency,baseline_months,eligible
ETH,bbccd5a579e6481949da3bdb2ed59098f25f4157be008be2c1581c6f8eac1da3,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3075"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,22495588e663a087a43af80b18032316e6e14d9f9f181ee68d1d50b11dbcb79d,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3076"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,27ea22282d7fac7fb91a584c28e3c92c1d37157f9c20bd3bb8880e81c7cf505e,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3077"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,7ec4012202b60986580c771cadb2866cdbb988efd8a9f3aee47642e02b11fdb2,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3078"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,db9d63a3ef93682ac96e684d06bc10b075eaa94171926888b02ba1148f4b1903,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3079"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,7c72178c2dbeed15612199720278bba641698c15bf39d92a40221e9540eeb8e5,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3107"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,a6684ab7245d018eb7c20c210f4ede7454cda0545abb5e5d2a95558757c38b69,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3108"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,6e55f370a29e2d9100123535abcd78fdba33799779e7fbeff06b6d89e280e6d1,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3647"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,dd572120a20cf79884181a97c588d5a1bb9de5438d0533122befdb10e8a4c272,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3648"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,12f6156f3e8e81649e4de6503d700455193f3715a047190a4bd74fe0e292b845,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3649"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,91f83d0f185becfbd128e5c39bf89336ac281c64655ed0c5c90ae0f9c073a52b,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3650"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,aa0070cf0278895e0cae8e436cdb16934f1cf84d893e286172fed4df4b8174a5,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3651"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,1fafb9c75b329bd39472233d754c3e967d709c91521ea81ca48101e419c703a6,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3652"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,4a61b55c0a543fa48fa393d2ba61a0538d644827dd5705a07e8d143c996aeebc,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3653"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,7f379a1bfac9f74620ff193a02ed3339639a77930b44a3c9b64b7494460bf272,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3654"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,a0bbb4d25e7ec4e269543c3c3607d53fa862e7d7cc4853d21879ab7a161f0ad3,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3655"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,f7da5f1b92411173343676bf8873c5f148bc6f1005294ffba9e47c5d77b931f4,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3657"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,5f76bb2614f043d306b9d6aaf3d178da4e45015a7590eee39c48b3b8c0bbf972,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3659"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,17af559b3aa14eb595b151a57eaefa437e53604f5c701a25cdab1310e1ff77ed,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3660"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,9a0b4dbd723a525fa9509db77ed8063b3e2a9bf17dc5b6f6978e25b52aed3bb3,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3661"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,96f949efb143fcbc9643a88f300bb0e33ea0ca58534384b29fd562dc1ab03e2d,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3662"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,70b79e1bf59d9b8ef52f9064b10bc402611bb1e3947a6de53a23c67d46504a97,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3663"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,4b5a4c28635d3fa5aa39f8d5abb2122d7417ee0c0dc85fa4567e101d1a04b763,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3664"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,1294eceb8ddefdcd346a35a26e00e3aa353e7b057cf45314ff29f5b01f8a7d7f,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3665"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
